Asset,Downside_Risk_Annual
SRF,0.23232813412939146
SRHHYPOLTD,0.3593460451145028
SSWL,0.2637600621751361
STAR,0.2975783558577952
STEL,0.3590991879309715
STERTOOLS,0.2904488577762428
STLTECH,0.33554472717374834
STYRENIX,0.2627400269332431
SUBEXLTD,0.3899275950992482
SUBROS,0.28586808080486525
SUNDARAM,0.39655041973989186
SUNDARMFIN,0.17387572464102444
SUNDRMBRAK,0.27351259321773325
SUNDRMFAST,0.21869452191634345
SUNDROP,0.2099817394275076
SUNFLAG,0.3195528451889791
SUNPHARMA,0.20733360665000444
SUNTV,0.3059333122554593
SUPERSPIN,0.4184535184748861
SUPRAJIT,0.24194102972859519
SUPREMEIND,0.18645217645378231
SUPREMEINF,0.3714820435782894
SURANASOL,0.3738701675629296
SURYALAXMI,0.31571931747019205
SURYAROSNI,0.29699446002842744
SUZLON,0.41391588223116055
SWARAJENG,0.18236434629822498
SWELECTES,0.2915845443618238
TAINWALCHM,0.39954899087799367
TAJGVK,0.27173382702758936
TAKE,0.3319072181192892
TANLA,0.3618044181027894
TARIL,0.3296579237681807
TATACHEM,0.31349793804024484
TATACOMM,0.26429028531280935
TATACONSUM,0.2209871280028322
TATAELXSI,0.2608181699775895
TCI,0.33197609415127366
TCS,0.17540790704160744
TEXINFRA,0.29079537062380234
TFL,0.42533833785530584
TGBHOTELS,0.3871139807138618
THANGAMAYL,0.27912433283748056
THERMAX,0.19923527289744308
TI,0.3160210026033698
TIIL,0.30829144427663063
TIL,3.0117022196979
TIMKEN,0.2240093097956625
TIPSMUSIC,0.32798147124432064
TIRUMALCHM,0.34707579993352417
TITAN,0.22736705641939747
TMPV,0.2900056328984071
TNPETRO,0.30380493005382425
TOKYOPLAST,0.35393648601486943
TORNTPHARM,0.18926194359205306
TRANSWORLD,0.39125805278388265
TREEHOUSE,0.35589302394685285
TRF,0.35579784839842676
TRIDENT,0.3279117592737162
TRIGYN,0.386390406748181
TRIVENI,0.3415598483008602
TTKHLTCARE,0.24239118146491442
TTKPRESTIG,0.2242294577682097
TTML,0.3559865855636412
TVSELECT,0.335233171390661
TVSMOTOR,0.23720514831335565
TVTODAY,0.30308494027024696
UBL,0.2390184037177
UCOBANK,0.28049711547002926
UFLEX,0.282428443319156
UGARSUGAR,0.32786384983186473
ULTRACEMCO,0.1890958429164916
UMIYA-MRO,0.3747365910426545
UNICHEMLAB,0.2611949864573776
UNIENTER,0.3156998939041242
UNIONBANK,0.32094396824694216
UNITECH,0.4545871115603788
UNITEDTEA,0.3083146943930611
UNOMINDA,0.2829827314892104
UPL,0.2521991176663903
UTTAMSUGAR,0.3792382486771108
V2RETAIL,0.38317157295324183
VAKRANGEE,0.36431442992543833
VARDHACRLC,0.2610438971116721
VASCONEQ,0.38533821109125793
VASWANI,0.4284165922575489
VEEDOL,0.1833599417252586
VENKEYS,0.29171136011539617
VENUSREM,0.3508074936324811
VETO,0.28040153488953534
VGUARD,0.20383505532543997
VIMTALABS,0.3505103886554306
VINATIORGA,0.22176832041964728
VINDHYATEL,0.3045653340793765
VINYLINDIA,0.37146189427395687
VIPIND,0.28863860754993176
VIPULLTD,0.38281504707782826
VISAKAIND,0.2878640171041712
VLSFINANCE,0.3395606371911263
VSSL,0.33301128287583126
VSTIND,0.18824478935929542
VSTTILLERS,0.2192991754433692
WABAG,0.2648319225245945
WALCHANNAG,0.32744252329222345
WEIZMANIND,0.4338235333876446
WELCORP,0.35467097448753543
WELINV,0.37308721170632847
WELSPUNLIV,0.3205255192804327
WENDT,0.2372682207054436
WEWIN,2.1299746856437554
WHEELS,0.2535721404298209
WHIRLPOOL,0.21137228806062727
WILLAMAGOR,0.3829112510849121
WINDMACHIN,0.4081492533248059
WOCKPHARMA,0.35487192935697576
WSI,0.42739898327816905
WSTCSTPAPR,0.29557993629297014
XCHANGING,0.37421445063121844
XPROINDIA,0.3482320553107551
YESBANK,0.4515497616200606
ZEEL,0.29599120636451304
ZEELEARN,0.3034828109196513
ZEEMEDIA,0.32800858776273467
ZENSARTECH,0.2602201320640571
ZFCVINDIA,0.17612967548935646
ZODIACLOTH,0.2677048765650872
ZOTA,0.3954725405893403
ZUARI,0.29444333345375995
ZUARIIND,0.2908039474325783
ZYDUSLIFE,0.20546375574116135
