Asset,Expected_Return_Annual
SUPREMEINF,-0.1979854340982706
SURANASOL,-0.03251673826332043
SURYALAXMI,-0.04366968053909413
SURYAROSNI,0.15875290539076012
SUZLON,-0.14229362924652217
SWARAJENG,0.1105358356642941
SWELECTES,0.09637869140179227
TAINWALCHM,0.1511029515998916
TAJGVK,0.05613852846209627
TAKE,-0.06145840415559016
TANLA,0.29944412814714816
TARIL,0.08151465442846575
TATACHEM,0.09333984261624728
TATACOMM,0.14499441631989438
TATACONSUM,0.1622549715482395
TATAELXSI,0.3310575700448969
TCI,0.2070810421414351
TCS,0.15106023586182313
TEXINFRA,0.03899121108207511
TFL,-0.04653873495833139
TGBHOTELS,-0.21048621033498344
THANGAMAYL,0.1507295612324921
THERMAX,0.1101870572371718
TI,0.04505779983701696
TIIL,0.2641216834471228
TIL,-0.10498490682038004
TIMKEN,0.24061855547579
TIPSMUSIC,0.32971493363523313
TIRUMALCHM,0.24357516041440264
TITAN,0.22034131167815718
TMPV,0.04935543928429525
TNPETRO,0.1360560534551202
TOKYOPLAST,0.1801641637785643
TORNTPHARM,0.21013044288257268
TRANSWORLD,0.16934875452089848
TREEHOUSE,-0.18057680700964082
TRF,-0.08978801950929881
TRIDENT,0.2616867557359115
TRIGYN,0.13186163145589588
TRIVENI,0.166640111694677
TTKHLTCARE,0.06267081548725663
TTKPRESTIG,0.12501360325549757
TTML,0.1258913675264361
TVSELECT,0.22837816451562365
TVSMOTOR,0.24926161967367705
TVTODAY,0.1015772121365157
UBL,0.0925534766554882
UCOBANK,-0.11729910663305969
UFLEX,0.08622544342556823
UGARSUGAR,0.1521337864671112
ULTRACEMCO,0.16306367791899912
UMIYA-MRO,0.09640741785244845
UNICHEMLAB,0.040455723228425416
UNIENTER,0.14540070053566306
UNIONBANK,-0.1379133768405093
UNITECH,-0.27995747472925336
UNITEDTEA,0.05958722943323337
UNOMINDA,0.3501372939141502
UPL,0.17475005747164182
UTTAMSUGAR,0.1542613452434613
V2RETAIL,0.06955548833549438
VAKRANGEE,0.08426436185752406
VARDHACRLC,0.12290006804744803
VASCONEQ,-0.1010865704378381
VASWANI,0.0181367275421495
VEEDOL,0.0902756997649796
VENKEYS,0.13123567877169742
VENUSREM,-0.029115547617280566
VETO,0.04318594323193658
VGUARD,0.2631695488508621
VIMTALABS,0.21864320335004614
VINATIORGA,0.33480274571200075
VINDHYATEL,0.15952067204454978
VINYLINDIA,0.2953309470194982
VIPIND,0.13692754334426865
VIPULLTD,-0.014783113211983041
VISAKAIND,0.10845648294524883
VLSFINANCE,0.20481792062484555
VSSL,0.2172899033305799
VSTIND,0.13358713763565455
VSTTILLERS,0.12784040024196827
WABAG,0.02241958836179522
WALCHANNAG,-0.08027731293521206
WEIZMANIND,0.14653704128664127
WELCORP,0.0018257482792205985
WELINV,0.1123361311383684
WELSPUNLIV,0.2427306164890368
WENDT,0.17524555756494212
WEWIN,-0.10303583923689853
WHEELS,0.17769489549090717
WHIRLPOOL,0.14375244196379566
WILLAMAGOR,-0.07957792363122158
