,Expected_Return,Downside_Risk
OBEROIRLTY,0.10515713612611498,0.2534120308159124
OFSS,0.053809411437836234,0.2006932753056222
OIL,-0.0024328750285303367,0.2406468547813293
OILCOUNTUB,-0.12927830341187935,0.34402634117862296
OMAXE,-0.05438889749517953,0.20412937404425238
OMINFRAL,-0.009421465562277862,0.42193465465901836
ONMOBILE,-0.0461885361023714,0.37215261063820126
ORIENTCER,0.05605892291282549,0.30744309746626797
ORIENTHOT,0.08458126560941331,0.2767364160369003
ORIENTPPR,0.15658069636969438,0.3706387811974704
ORISSAMINE,-0.05257731888614424,0.29118385247329776
PAGEIND,0.2676970758958755,0.21036957116622093
PAISALO,0.09186164705504804,0.3115915041356844
PANAMAPET,0.1935206357741435,0.3128056910897514
PARSVNATH,-0.12970784241188588,0.3658245231275557
PATINTLOG,0.010957215914600839,0.3968609275250355
PCBL,0.17895035952614488,0.3105615613865563
PENIND,0.038062798087939276,0.301439237180412
PENINLAND,-0.12681172992056963,0.36031384298778535
PETRONET,0.12355517946364805,0.21077106094906572
PFC,0.024752717316145034,0.2887935187710658
PFIZER,0.11659327878481016,0.1584916604968518
PFS,-0.04638829526586724,0.2979510480036984
PGHL,0.18335281307223564,0.18798559957181082
PGIL,0.185625369103409,0.29554696667868197
PIDILITIND,0.2403807474072925,0.1698562886244062
PIIND,0.3169419215618692,0.22729655814484426
PIONEEREMB,0.041715655208283665,0.36713373272480704
PITTIENG,0.22771128002571617,0.3530925090338434
PLASTIBLEN,0.11275792650374929,0.2600745490553287
PNB,-0.1272183049661059,0.2956389843058209
PNBGILTS,0.09922730882075634,0.22617724643802226
POLYMED,0.28866408846296865,0.24252583967572797
POLYPLEX,0.15990498196422592,0.2545017731367143
PONNIERODE,0.12896273029507538,0.35266669950633606
POONAWALLA,0.13264955763299346,0.3137618108890915
POWERGRID,0.09798951988345729,0.1752925486775157
PPAP,0.053330030112160066,0.3054593698000895
PRAENG,-0.012676768114397738,0.3775474414290083
PRAKASH,-0.0313786226811052,0.37498263056524656
PRAKASHSTL,-0.09505209482074989,0.6851574363217485
PRECWIRE,0.18282983912340442,0.30350565122820516
PRESTIGE,0.10722989291527213,0.3126178426047746
PTC,0.005149993797315658,0.2635563548778677
PTL,0.1476796990834376,0.4077338706458462
PUNJABCHEM,0.19374637890998764,0.32072683445558203
PVRINOX,0.2323984464182396,0.25312703180489066
RADICO,0.18191412381625569,0.2607658065189987
RAIN,0.13951951032331836,0.32737933996768254
RAJESHEXPO,0.1363846364782839,0.24931173068327006
RAJSREESUG,-0.022435238299386897,0.3701330624452894
RAJTV,0.0872061338827424,0.3114221037740675
RALLIS,0.037035144062881394,0.23471609258228912
RAMANEWS,-0.03985849902731697,0.35235205555743787
RAMCOCEM,0.1728599259978443,0.21058369419960496
RAMCOSYS,0.07165673142232896,0.32537489012808507
RAMKY,0.006970455899890512,0.3777353665057073
RANASUG,0.1163248088194867,0.37132952601224034
RATNAMANI,0.2726180094958607,0.2042610429022752
RAYMOND,0.12585648847437683,0.2810329584926364
RCF,0.019115745684782286,0.2858247871698021
RECLTD,0.026456355035304198,0.280440936836349
REDINGTON,0.12401474238649193,0.2719444673027517
RELAXO,0.33738073613640346,0.2187148984235418
RELIANCE,0.12682440993715377,0.19441701154623983
RENUKA,-0.04074466668936257,0.3552231921345611
REPRO,0.12159637077964666,0.27145040048168323
RGL,0.14550228319893752,0.30859398650758646
RICOAUTO,0.1160118997557629,0.3320160725279363
RIIL,0.01855295703370948,0.2857313470600025
RKDL,-0.06057224378245119,0.3961943187825502
RKFORGE,0.2173620654916367,0.31768650639699864
ROHLTD,0.11853544721239531,0.3280654439637693
ROSSELLIND,0.18052547092843152,0.35714603962777175
RPGLIFE,0.18666842063635147,0.2970858345727958
RPOWER,-0.20975741060573636,0.3949246032802644
RPPINFRA,-0.016988539285587127,0.3626555442824843
RSSOFTWARE,-0.0019939805370521543,0.374466450885893
RSWM,0.04923851321497154,0.29631113258153546
RSYSTEMS,0.2604571485129762,0.2818847508637269
RTNINDIA,0.1839617867304874,0.36450542598631963
RUBYMILLS,0.03521780558132224,0.3141103125186406
RUCHIRA,0.1858730316915378,0.3559118037176811
RUPA,0.03471093106083422,0.261677599138078
SADBHAV,-0.1883895589398183,0.3060317131358782
